1 Жанна Кальман[3][4][5]	жен.	21 февраля 1875	4 августа 1997	122 года 164 дня	Франция Франция
59	Эди Чеккарелли	жен.	5 февраля 1908	Жива	115 лет 28 дней	Соединённые Штаты Америки США
60	Кото Окубо	жен.	24 декабря 1897	12 января 2013	115 лет 19 дней	Япония Япония
61	Антония Джерена-Ривера	жен.	19 мая 1900	2 июня 2015	115 лет 14 дней	Пуэрто-Рико Пуэрто-Рико — Соединённые Штаты Америки США
62	Тиёно Хасэгава	жен.	20 ноября 1896	2 декабря 2011	115 лет 12 дней	Япония Япония
63	Энни Дженнингс	жен.	12 ноября 1884	20 ноября 1999	115 лет 8 дней	Великобритания Великобритания
64	Аноним из Хиого	жен.	29 апреля 1907	30 апреля 2022	115 лет 1 день	Япония Япония
65	Ева Моррис	жен.	8 ноября 1885	2 ноября 2000	114 лет 360 дней	Великобритания Великобритания
66	Кама Тинэн	жен.	10 мая 1895	2 мая 2010	114 лет 357 дней	Япония Япония
67	София Рохас	жен.	13 августа 1907	30 июля 2022	114 лет 351 день	Колумбия Колумбия
68	Мария Гомес Валентин	жен.	9 июля 1896	21 июня 2011	114 лет 347 дней	Бразилия Бразилия
69	Мэри Бидуэлл	жен.	19 мая 1881	25 апреля 1996	114 лет 342 дня	Соединённые Штаты Америки США
70	Кахору Фуруя	жен.	18 февраля 1908	25 декабря 2022	114 лет 310 дней	Япония Япония
71	Мэри Жозефина Рэй	жен.	17 мая 1895	7 марта 2010	114 лет 294 дня	Канада Канада — Соединённые Штаты Америки США
72	Голди Стайнберг	жен.	30 октября 1900	16 августа 2015	114 лет 290 дней	Российская империя Российская империя — Соединённые Штаты Америки США
73	Томико Итока	жен.	23 мая 1908	Жива	114 лет 286 дней	Япония Япония
74	Киёко Исигуро	жен.	4 марта 1901	5 декабря 2015	114 лет 276 дней	Япония Япония
75	Мария ду Коуту Майя-Лопеш	жен.	24 октября 1890	25 июля 2005	114 лет 274 дня	Португалия Португалия
Эдокси Бабуль	жен.	1 октября 1901	1 июля 2016	114 лет 274 дня	Гвинея Гвинея
77	Рамона Тринидад Иглесиас-Хордан	жен.	31 августа 1889	29 мая 2004	114 лет 272 дня	Пуэрто-Рико Пуэрто-Рико — Соединённые Штаты Америки США
78	Юки Хино	жен.	17 апреля 1902	13 января 2017	114 лет 271 день	Япония Япония
79	Инах Канабарро Лукас	жен.	8 июня 1908	Жива	114 лет 270 дней	Бразилия Бразилия
80	Делфин Гибсон	жен.	17 августа 1903	9 мая 2018	114 лет 265 дней	Соединённые Штаты Америки США
81	Эжени Бланшар	жен.	16 февраля 1896	4 ноября 2010	114 лет 261 день	Франция Франция
82	Хазел Пламмер	жен.	19 июня 1908	Жива	114 лет 259 дней	Соединённые Штаты Америки США
83	Венере Пиццинато-Папо	жен.	23 ноября 1896	2 августа 2011	114 лет 252 дня	Италия Италия
84	Нева Моррис	жен.	3 августа 1895	6 апреля 2010	114 лет 246 дней	Соединённые Штаты Америки США
85	Хидэ Охира	жен.	15 сентября 1880	9 мая 1995	114 лет 236 дней	Япония Япония
86	Бланш Кобб	жен.	8 сентября 1900	1 мая 2015	114 лет 235 дней	Соединённые Штаты Америки США
87	Этель Ланг	жен.	27 мая 1900	15 января 2015	114 лет 233 дня	Великобритания Великобритания
88	Мила Мангольд	жен.	14 ноября 1907	2 июля 2022	114 лет 230 дней	Соединённые Штаты Америки США
89	Мэтью Бирд	муж.	9 июля 1870	16 февраля 1985	114 лет 222 дня	Соединённые Штаты Америки США
90	Ёнэ Минагава	жен.	4 января 1893	13 августа 2007	114 лет 221 день	Япония Япония
91	Мария Антония Кастро	жен.	10 июня 1881	16 января 1996	114 лет 220 дней	Испания Испания
92	Кэрри Лейзенби	жен.	9 февраля 1882	14 сентября 1996	114 лет 218 дней	Соединённые Штаты Америки США
Ура Кояма	жен.	30 августа 1890	5 апреля 2005	114 лет 218 дней	Япония Япония
94	Мертл Дорси	жен.	22 ноября 1885	25 июня 2000	114 лет 216 дней	Соединённые Штаты Америки США
95	Ёси Баба	жен.	3 июня 1907	4 января 2022	114 лет 215 дней	Япония Япония
96	Исо Накамура	жен.	23 апреля 1903	23 ноября 2017	114 лет 214 дней	Япония Япония
97	Фаустина Сармиенто Пупо	жен.	15 февраля 1905	16 сентября 2019	114 лет 213 дней	Куба Куба
98	Сесиль Кляйн	жен.	15 июня 1907	13 января 2022	114 лет 212 дней	Канада Канада
99	Анна Элиза Уильямс	жен.	2 июня 1873	27 декабря 1987	114 лет 208 дней	Великобритания Великобритания
100	Уолтер Брюнинг	муж.	21 сентября 1896	14 апреля 2011	114 лет 205 дней	Соединённые Штаты Америки США
